Gemeente;Straat;Datum;Tijd_cleaned;Tijd;Nr.;Hecto;Kruispunt met;Info;Best.1;Leeft.1;Gesl.1;Best.2;Leeft.2;Gesl.2;Best.3;Leeft.3;Gesl.3;Best.4;Leeft.4;Gesl.4;Ongevalsfactoren;Type aanrijding;Gevolg;PV nr.;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Arkstraat;25/08/2005;;;;;Weg op Bree;;auto;21_30;vr;auto;60+;ml;;;;;;;geen voorrang;langs opzij;schade;geen PV;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Arkstraat;4/12/2005;;nam.;72;;;parking 't Heem;onbekend;onb;onb;;;;;;;;;;onbekend;tegen geparkeerd voertuig;schade;TG.91.L7.200354/2005;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Beemdstraat;21/06/2005;0850;08u50;;;;;auto;21_30;ml;;;;;;;;;;onverantwoord rijgedrag;tegen hindernis buiten rijbaan;gewond;geen PV;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Beemdstraat;7/11/2005;1715;17u15;62;;;;traag vervoer;51_60;ml;auto;21_30;ml;;;;;;;te weinig afstand;bij kruisen (spiegels);schade;TG.91.L7.200327/2005;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Betonweg;13/01/2005;0930;09u30;219;;;;auto;41_50;ml;auto;21_30;ml;;;;;;;onjuiste plaats op de rijbaan;frontaal;schade;geen PV;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Blauwe-Keistraat;2/07/2005;2100;21u00;3;;;;auto;21_30;ml;;;;;;;;;;controleverlies;tegen hindernis buiten rijbaan;schade;TG.91.L7.200191/2005;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Boendersstraat;12/08/2005;2200;22u00;;;;;auto;21_30;ml;;;;;;;;;;ongeval met dier;frontaal;schade;geen PV;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Bosstraat;30/03/2005;;;;;Kerkhofstraat;;auto;31_40;ml;onbekend;31_40;ml;;;;;;;geen voorrang;langs opzij;schade;geen PV;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Breekiezel;27/09/2005;1040;10u40;137;38 800;;;auto;51_60;vr;lichte vracht;41_50;ml;;;;;;;onjuiste plaats op rijbaan;frontaal;gewond;TG.81.L7.200279/2005;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Breekiezel;15/01/2005;1130;11u30;;;Boshovenstraat;;auto;51_60;ml;auto;41_50;ml;auto;31_40;ml;auto;21_30;ml;onoplettend;langs achteren;gewond;TG.81.L7.200008/2005;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Breekiezel;18/11/2005;1949;19u49;;;;;auto;21_30;ml;auto;10_20;ml;;;;;;;onoplettend;langs achteren;schade;geen PV;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Weg naar As;15/11/2005;;;;;Weg naar Opoeteren;;vrachtwagen;51_60;ml;autobus;51_60;ml;;;;;;;onbekend;bij kruisen (spiegels);schade;geen PV;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Breekiezel;18/03/2005;1115;11u15;;;;;auto;60+;ml;auto;31_40;vr;;;;;;;geen voorrang;frontaal;schade;geen PV;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Breekiezel;30/07/2005;0850;08u50;21;;;;auto;41_50;ml;lichte vracht;31_40;ml;;;;;;;geen voorrang;langs opzij;schade;geen PV;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Weg naar As;26/09/2005;1045;10u45;;;Weg naar Opoeteren;rotonde centrum;auto;21_30;vr;lichte vracht;31_40;vr;;;;;;;tijdens manouvreren/parkeren;langs opzij;schade;geen PV;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Broekkantstraat;7/07/2005;1900;19u00;75;;;;auto;21_30;ml;;;;;;;;;;onverantwoord rijgedrag;tegen hindernis buiten rijbaan;schade;TG.91.L7.200194/2005;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Dampstraat;18/05/2005;1705;17u05;32;;;;lichte vracht;21_30;ml;auto;onb;ml;;;;;;;onverantwoord inhalen;frontaal;gewond;TG.81.L7.200148/2005;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Dampstraat;24/11/2005;1445;14u45;;;;;auto;onb;vr;;;;;;;;;;ongeval met dier;frontaal;schade;geen PV;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Dorpsstraat;2/09/2005;1540;15u40;;;Weg op Bree;;auto;31_40;ml;(brom)fiets;31_40;ml;;;;;;;zicht gehinderd;langs opzij;gewond;TG.81.L7.200240/2005;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Dorpsstraat;26/08/2005;0855;08u55;;;;;auto;51_60;ml;auto;60+;vr;;;;;;;geen voorrang;langs opzij;schade;geen PV;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Dorpsstraat;31/05/2005;0830;08u30;;;Weg nr. Helchteren;;auto;31_40;vr;vrachtwagen;31_40;ml;;;;;;;onjuiste plaats op de rijbaan;langs opzij;schade;geen PV;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Dorpsstraat;30/10/2005;0222;02u22;;;Weg op Bree;;auto;21_30;ml;;;;;;;;;;onjuiste plaats op de rijbaan;tegen hindernis buiten rijbaan;schade;TG.91.L7.200316/2005;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Fietsroutenetwerk;16/10/2005;1430;14u30;;;;;(brom)fiets;10_20;ml;(brom)fiets;60+;ml;(brom)fiets;60+;vr;;;;te weinig afstand;onbekend;gewond;TG.81.L7.200303/2005;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Genitsstraat;27/06/2005;0648;06u48;46;;Gruitroderbaan;;auto;31_40;ml;(brom)fiets;41_50;ml;;;;;;;zicht gehinderd;langs opzij;gewond;TG.81.L7.200185/2005;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Genkerbaan;9/02/2005;0920;09u20;;;;;vrachtwagen;41_50;ml;auto;41_50;vr;;;;;;;verlies van lading;tegen hindernis op de rijbaan;schade;geen PV;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Genkerbaan;18/09/2005;1330;13u30;48;;;;auto;21_30;ml;auto;60+;ml;auto;21_30;ml;;;;onoplettend;langs achteren;schade;geen PV;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Genkerbaan;4/07/2005;1640;16u40;14;;;uitrit ALDI;auto;onb;ml;auto;onb;ml;;;;;;;onbekend;langs achteren;schade;geen PV;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Genkerbaan;15/11/2005;1605;16u05;;;;aan ambicafé;autobus;41_50;ml;auto;60+;ml;;;;;;;geen voorrang;langs opzij;schade;geen PV;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Hoogstraat;30/01/2005;1445;14u45;;;Kruisstraat;;auto;41_50;ml;auto;21_30;ml;;;;;;;geen voorrang;langs opzij;schade;geen PV;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Plockroy;17/11/2005;1715;17u15;;;Vliegeneinde;;auto;51_60;vr;auto;60+;ml;;;;;;;tijdens manouvreren/parkeren;tegen hindernis buiten rijbaan;schade;TG.91.L7.200333/2005;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Grote Baan;26/09/2005;1315;13u15;;20 200;Betonweg;;auto;21_30;vr;vrachtwagen;21_30;ml;;;;;;;onoplettend;langs achteren;gewond;TG.81.L7.200276/2005;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Grote Baan;10/01/2005;1800;18u00;;;;;mobilhome;41_50;ml;;;;;;;;;;hindernis op de rijbaan;frontaal;schade;geen PV;;;;;;;;;;;;;;;;;
